@relation R_data_frame

@attribute a numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
6.3,27.24,5.7,0.402,2
7.6,31.26,5.7,0.404,2
4.1,26.48,5.98,0.407,2
8.4,30.4,5.8,0.408,2
4.6,21.07,6.02,0.411,2
4.6,20.79,5.58,0.412,2
4.9,28.22,6.01,0.418,2
5.5,27.17,5.77,0.419,2
6.6,28.43,5.71,0.422,2
4.2,26.36,5.68,0.423,2
4.8,28.22,5.86,0.427,2
6.8,29.43,5.83,0.428,2
5.2,29.28,5.7,0.436,2
3.9,27.53,5.9,0.44,2
5.3,25.9,5.84,0.443,2
4.5,29.42,5.82,0.447,2
6.3,24.7,5.9,0.45,2
3.8,28,5.89,0.462,2
6.7,24.42,5.77,0.464,2
6.8,34.52,5.53,0.474,2
7.8,24.92,5.63,0.478,2
8.3,30.37,5.61,0.494,2
5,31.57,5.67,0.498,2
4.4,28.75,5.69,0.499,2
5.7,26.45,5.8,0.5,2
6.1,21.93,5.83,0.501,2
5,32.73,5.7,0.512,2
7.7,24.9,5.84,0.519,2
4.3,20.02,5.87,0.527,2
6.1,32.41,5.68,0.528,2
5.7,29.42,5.82,0.541,2
6.5,30.1,5.62,0.549,2
6,30.14,5.81,0.618,2
5.4,32.84,5.59,0.667,2
6.5,30.39,5.88,0.707,2
7.5,26.11,5.8,0.744,2
3.8,28,5.89,0.462,2
4.5,29.42,5.82,0.447,2
5.3,25.9,5.84,0.443,2
6.1,21.93,5.83,0.501,2
4.3,20.02,5.87,0.527,2
5.7,26.45,5.8,0.5,2
6.3,24.7,5.9,0.45,2
4.4,28.75,5.69,0.499,2
6.7,24.42,5.77,0.464,2
8.8,27.86,5.7,0.398,2
4.6,20.79,5.58,0.412,2
4.1,26.48,5.98,0.407,2
8.3,30.37,5.61,0.494,2
6.8,29.99,5.7,0.338,2
7.7,24.9,5.84,0.519,2
5.8,28.49,5.72,0.373,2
6.3,27.24,5.7,0.402,2
4.6,21.07,6.02,0.411,2
6.5,30.1,5.62,0.549,2
6.8,34.52,5.53,0.474,2
5.5,33.31,5.54,0.32,2
5.5,33.04,5.75,0.32,2
5.3,29.02,5.74,0.333,2
5,32.73,5.7,0.512,2
5.9,23.58,5.7,0.393,2
7.8,24.92,5.63,0.478,2
4.1,31.6,5.75,0.387,2
4.8,28.22,5.86,0.427,2
6.7,22.69,5.88,0.396,2
5.7,29.42,5.82,0.541,2
5.4,32.84,5.59,0.667,2
6.6,28.43,5.71,0.422,2
6.1,32.41,5.68,0.528,2
4.2,26.36,5.68,0.423,2
8.4,30.4,5.8,0.408,2
6.8,24.73,5.96,0.38,2
4.5,33.47,5.8,0.277,2
4.9,28.22,6.01,0.418,2
6,30.14,5.81,0.618,2
6.5,30.39,5.88,0.707,2
3.9,27.53,5.9,0.44,2
4.7,22.94,5.63,0.342,2
